areaCode,areaName,areaType,date,newPeopleVaccinatedFirstDoseByVaccinationDate
E06000003,Redcar and Cleveland,utla,2022-01-18,19
E06000014,York,utla,2022-01-18,187
E06000050,Cheshire West and Chester,utla,2022-01-18,54
E08000001,Bolton,utla,2022-01-18,52
E08000016,Barnsley,utla,2022-01-18,59
E08000031,Wolverhampton,utla,2022-01-18,83
E08000032,Bradford,utla,2022-01-18,200
E09000018,Hounslow,utla,2022-01-18,60
E09000032,Wandsworth,utla,2022-01-18,65
E09000033,Westminster,utla,2022-01-18,70
E10000034,Worcestershire,utla,2022-01-18,115
S12000013,Na h-Eileanan Siar,utla,2022-01-18,0
S12000029,South Lanarkshire,utla,2022-01-18,58
S12000045,East Dunbartonshire,utla,2022-01-18,15
E06000003,Redcar and Cleveland,utla,2022-01-17,35
E06000014,York,utla,2022-01-17,48
E06000050,Cheshire West and Chester,utla,2022-01-17,37
E08000001,Bolton,utla,2022-01-17,45
E08000016,Barnsley,utla,2022-01-17,7
E08000031,Wolverhampton,utla,2022-01-17,101
E08000032,Bradford,utla,2022-01-17,145
E09000018,Hounslow,utla,2022-01-17,87
E09000032,Wandsworth,utla,2022-01-17,73
E09000033,Westminster,utla,2022-01-17,78
E10000034,Worcestershire,utla,2022-01-17,128
S12000013,Na h-Eileanan Siar,utla,2022-01-17,2
S12000029,South Lanarkshire,utla,2022-01-17,54
S12000045,East Dunbartonshire,utla,2022-01-17,6
E06000003,Redcar and Cleveland,utla,2022-01-16,24
E06000014,York,utla,2022-01-16,106
E06000050,Cheshire West and Chester,utla,2022-01-16,25
E08000001,Bolton,utla,2022-01-16,52
E08000016,Barnsley,utla,2022-01-16,56
E08000031,Wolverhampton,utla,2022-01-16,48
E08000032,Bradford,utla,2022-01-16,115
E09000018,Hounslow,utla,2022-01-16,80
E09000032,Wandsworth,utla,2022-01-16,57
E09000033,Westminster,utla,2022-01-16,18
E10000034,Worcestershire,utla,2022-01-16,61
S12000013,Na h-Eileanan Siar,utla,2022-01-16,3
S12000029,South Lanarkshire,utla,2022-01-16,169
S12000045,East Dunbartonshire,utla,2022-01-16,11
E06000003,Redcar and Cleveland,utla,2022-01-15,25
E06000014,York,utla,2022-01-15,74
E06000050,Cheshire West and Chester,utla,2022-01-15,105
E08000001,Bolton,utla,2022-01-15,78
E08000016,Barnsley,utla,2022-01-15,127
E08000031,Wolverhampton,utla,2022-01-15,67
E08000032,Bradford,utla,2022-01-15,227
E09000018,Hounslow,utla,2022-01-15,123
E09000032,Wandsworth,utla,2022-01-15,134
E09000033,Westminster,utla,2022-01-15,69
E10000034,Worcestershire,utla,2022-01-15,73
S12000013,Na h-Eileanan Siar,utla,2022-01-15,4
S12000029,South Lanarkshire,utla,2022-01-15,24
S12000045,East Dunbartonshire,utla,2022-01-15,12
E06000003,Redcar and Cleveland,utla,2022-01-14,69
E06000014,York,utla,2022-01-14,55
E06000050,Cheshire West and Chester,utla,2022-01-14,121
E08000001,Bolton,utla,2022-01-14,62
E08000016,Barnsley,utla,2022-01-14,61
E08000031,Wolverhampton,utla,2022-01-14,52
E08000032,Bradford,utla,2022-01-14,152
E09000018,Hounslow,utla,2022-01-14,149
